Claim ID,Exact claim,URL (example),Pages carrying claim,Other example URLs,Claim type,All matched types,Where,Current source,Evidence status,Risk,Recommended treatment,Required owner evidence
C-0011,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🎪 Events & Venues RFID wristbands for ticketing, access control, cashless payment and guest experience at events and venues.",/products/rfid-labels/nfc-social-media-tag/,9,/products/rfid-labels/nfc-tap-to-pay-sticker/; /products/rfid-labels/uhf-rfid-retail-price-label/,certification,certification|company identity|customer result|health/safety|security,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0012,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🛡️ Brand Protection NFC authentication tags for product verification, anti-counterfeit and consumer engagement.",/products/rfid-cards/nfc-warranty-card/,8,/products/rfid-labels/nfc-cosmetics-authentication-label/; /products/rfid-labels/nfc-dry-inlay/,certification,certification|company identity|customer result|legal/regulatory|security,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0013,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🏥 Healthcare RFID solutions for patient identification, surgical instrument tracking, medication management and specimen labeling.",/products/rfid-labels/rfid-cryogenic-specimen-label/,8,/products/rfid-labels/rfid-specimen-slide-label/; /products/rfid-tags/rfid-blood-bag-tag/,certification,certification|company identity|customer result|health/safety,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0014,FDA 21 CFR 177.2600 — Rubber articles intended for repeated use U.S.,/products/rfid-keyfobs/rfid-silicone-keyfob/,7,/products/rfid-wristbands/elastic-rfid-wristband/; /products/rfid-wristbands/nfc-fitness-wristband/,legal/regulatory,legal/regulatory,body,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
C-0015,Typical pricing USD 0.45–0.95 @ 1k · 0.28–0.55 @ 10k (typical FOB Shenzhen range) — firm quote in one business day.,/products/rfid-tags/rfid-animal-ear-tag/,7,/products/rfid-tags/rfid-cable-seal-tag/; /products/rfid-tags/rfid-ear-tag-livestock/,company identity,company identity|lead time|price,body,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0016,MIFARE Classic vs Plus vs DESFire for hotel locks MIFARE Plus EV2 vs DESFire EV3 PVC vs wood vs PLA hotel key cards Hotel key card encoding guide Hotel key card material selection Related editorial Background reading for teams that want to understand the Be-Tech ecosystem before the first sample conversation.,/compatibility/be-tech-hotel-key-cards/,6,/compatibility/hafele-dialock-hotel-key-cards/; /compatibility/miwa-hotel-key-cards/,compatibility,compatibility|product specification,body,editorial sources[] present on page,UNVERIFIED,Medium,"QUALIFY (""validate with a sample on your reader/lock"") + REQUEST_FIRST_PARTY_EVIDENCE",Compatibility test matrix with lock/reader model + firmware + date
C-0017,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🏨 Hospitality RFID key cards, guest wristbands and linen tracking tags for hotels, resorts and serviced apartments. 🎓 Education Campus ID cards, staff badges, library tags and event wristbands for K-12, college and university operations.",/products/rfid-cards/rfid-blocking-card/,6,/products/rfid-cards/rfid-gift-card/; /products/rfid-keyfobs/rfid-epoxy-keyfob/,certification,certification|company identity|customer result|health/safety|test result,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0018,AES-128 key provisioning at NXP secure facility — coordinated through Proud Tek as part of first production batch.,/products/rfid-labels/nfc-cosmetics-authentication-label/,6,/products/rfid-labels/nfc-digital-product-passport-tag/; /products/rfid-labels/nfc-olive-oil-authentication-label/,security,security,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0019,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 📦 Logistics & Supply Chain UHF RFID labels, pallet tags, container seals and shipping labels for supply chain visibility.",/products/rfid-labels/rfid-airline-baggage-tag/,6,/products/rfid-labels/rfid-shipping-label/; /products/rfid-labels/uhf-rfid-paper-label/,certification,certification|company identity|customer result,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0020,"FCC Rules and Regulations, Title 47 CFR Part 15.247 U.S.",/compare/impinj-r700-vs-zebra-fx9600/,5,/compare/ucode8-vs-ucode9-vs-monza-r6-vs-higgs9/; /guides/rain-rfid-explained/,legal/regulatory,legal/regulatory,body,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
C-0021,MIFARE Plus SE — drop-in Classic replacement with AES-128.,/industries/events-venues/,5,/industries/fitness/; /industries/hospitality/,security,product specification|security,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0022,Typical pricing USD 0.60–2.50 /pc by material (typical FOB Shenzhen range) — firm quote in one business day.,/products/rfid-cards/rfid-bamboo-card/,5,/products/rfid-cards/rfid-wooden-card/; /products/rfid-cards/standard-rfid-wood-card/,company identity,company identity|lead time|price,body,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0023,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🌾 Agriculture Livestock ear tags, leg bands, glass capsules and plant nursery labels for traceability and herd management.",/products/rfid-tags/rfid-animal-ear-tag/,5,/products/rfid-tags/rfid-ear-tag-livestock/; /products/rfid-tags/rfid-fish-tag/,certification,certification|company identity|customer result|security,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0024,"ISO 10993-5 — Biological evaluation of medical devices — Tests for in vitro cytotoxicity International Organization for Standardization · Jun 1, 2009 · accessed Apr 25, 2026 Reference biocompatibility-evaluation framework for prolonged-skin-contact materials on hospital wristbands.",/products/rfid-wristbands/hospital-patient-id-wristband/,5,/products/rfid-wristbands/nfc-fitness-wristband/; /products/rfid-wristbands/nfc-medical-alert-wristband/,certification,certification|compatibility|customer result|health/safety,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0025,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🎓 Education Campus ID cards, staff badges, library tags and event wristbands for K-12, college and university operations. 💪 Fitness Member access cards, NFC fitness wristbands and key fobs for gyms, health clubs and 24/7 unstaffed facilities.",/products/rfid-cards/legic-card/,4,/products/rfid-cards/rfid-employee-badge/; /products/rfid-cards/rfid-student-id-card/,certification,certification|company identity|customer result|manufacturing capability|price,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0026,Typical pricing USD 0.15–0.25 @ 1k · 0.05–0.10 @ 100k+ (typical FOB Shenzhen range) — firm quote in one business day.,/products/rfid-labels/alien-higgs-9-uhf-inlay/,4,/products/rfid-labels/impinj-m730-uhf-inlay/; /products/rfid-labels/impinj-m750-uhf-inlay/,company identity,company identity|lead time|price,body,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0027,ISO/IEC 18000-63:2015 EPC Gen2v2 ratified.,/products/rfid-labels/rfid-shipping-label/,4,/products/rfid-labels/uhf-rfid-blank-label/; /products/rfid-labels/uhf-rfid-pallet-label/,product specification,product specification,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0028,"Google Review NFC Cards — Tap-to-Review Programme → NTAG213 NFC Stickers — 144-Byte Entry-Tier → NFC Business Cards — Custom Chip, Material & En... → At a glance Use these short answers to decide whether this page matches the project before moving into the detail.",/solutions/google-review-cards-for-checkout-counters/,4,/solutions/google-review-cards-for-clinics/; /solutions/google-review-cards-for-gyms-and-fitness-studios/,product specification,product specification,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0029,FTC 16 CFR Part 465 — Consumer Reviews Trade Regulation Rule U.S.,/solutions/google-review-cards-for-checkout-counters/,4,/solutions/google-review-cards-for-front-desks/; /solutions/google-review-cards-for-pickup-counters/,legal/regulatory,legal/regulatory,body,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
C-0030,FDA — Drug Supply Chain Security Act (DSCSA) U.S.,/case-studies/pharmaceutical-dscsa-uhf-rfid/,3,/industries/healthcare/; /solutions/rfid-supply-chain-management/,legal/regulatory,legal/regulatory,body,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
C-0031,"Those are industry-reference ranges assembled from Proud Tek's published guides and independent 2026 pricing reports, not a Proud Tek quote.",/guides/,3,/guides/buying-reference/; /guides/rfid-card-cost/,security,product specification|security,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0032,"Four levers set the price: chip/security tier, substrate material, order volume, and personalization; a 50,000-unit committed order runs 30-50% below a 1,000-unit pilot per card.",/guides/,3,/guides/buying-reference/; /guides/rfid-card-cost/,price,price,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,QUALIFY as indicative + REQUEST_FIRST_PARTY_EVIDENCE (current price list / MOQ policy / lead-time records),Signed price list or quote log with date; MOQ policy; production lead-time records
C-0033,"Medical-grade and high-security bands (DESFire EV3, UCODE-class) can reach US$0.70-2.00+.",/guides/,3,/guides/buying-reference/; /guides/rfid-wristband-cost/,certification,certification|health/safety|price|product specification,body|jsonld,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0034,"Substrate, environment and handling set those numbers — not chip family, since chips are rated for 100,000+ write cycles and 10-25 years of retention.",/guides/,3,/guides/buying-reference/; /guides/rfid-tag-card-wristband-lifespan/,company identity,company identity|test result,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0035,"This guide gives service-life ranges per format, the stressors that halve them, replacement-cost modelling, and the 4-8 week pilot that validates a real deployment.",/guides/,3,/guides/buying-reference/; /guides/rfid-tag-card-wristband-lifespan/,customer result,customer result|product specification,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,LABEL_AS_EXAMPLE unless deployment records + permission exist,Customer permission; measurement records; baseline; sample size; period; hardware config
C-0036,"Covering iOS Background Tag Reading behaviour (iPhone 7+, iOS 14+), Android launcher and NFC-settings variance, URL payload simplicity vs vCard handoff, phone-case and MagSafe interference, the device-OS-case test matrix, and the QR fallback discipline that prevents 10-20% of intended taps from failing silently at the networking moment.",/guides/,3,/guides/buying-reference/; /guides/nfc-business-card-iphone-android-compatibility/,customer result,customer result,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,LABEL_AS_EXAMPLE unless deployment records + permission exist,Customer permission; measurement records; baseline; sample size; period; hardware config
C-0037,"Penalties range from up to one year in county jail plus a fine of up to $1,500 for covert remote reading of identity documents, to CCPA fines of up to $2,500 per violation and $7,500 per intentional violation.",/guides/,3,/guides/california-rfid-privacy-law/; /guides/compliance-regulatory/,price,price,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,QUALIFY as indicative + REQUEST_FIRST_PARTY_EVIDENCE (current price list / MOQ policy / lead-time records),Signed price list or quote log with date; MOQ policy; production lead-time records
C-0038,"This encyclopedia documents the three chips' memory maps page by page, the 13-command Type-2 command set with hex opcodes, the NDEF TLV framing rules, the mirror and counter features, the lock/CFG bytes, and the specific tradeoffs that decide when NTAG213 is enough and when NTAG215 / NTAG216 are required.",/guides/,3,/guides/chip-encyclopedias/; /guides/ntag21x-family-memory-map-commands/,security,product specification|security,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0039,"Each URL embeds the 7-byte UID, a 24-bit monotonic read counter and a truncated AES-CMAC, so a photographed or cloned URL fails server-side verification.",/guides/,3,/guides/chip-encyclopedias/; /guides/ntag424-dna-sun-cmac-authentication/,security,product specification|security,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0040,Both use the proprietary CRYPTO1 stream cipher with 48-bit keys and per-sector Key A/Key B authentication.,/guides/,3,/guides/chip-encyclopedias/; /guides/mifare-classic-1k-4k-chip-encyclopedia/,security,security,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0041,"CRYPTO1 has been publicly broken since 2008, so Classic is wrong for new security-critical deployments; it survives on its enormous installed base — hotels, transit, student ID — and legacy-reader compatibility.",/guides/,3,/guides/chip-encyclopedias/; /guides/mifare-classic-1k-4k-chip-encyclopedia/,company identity,company identity|compatibility|customer result|security,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0042,"This encyclopedia documents the full DESFire EV3 command set, the three-key AES authentication flow, the application and file-based access model, the MIFARE 2GO / transaction MAC / proximity-check features that EV3 introduced, and the migration path from DESFire EV1 and EV2.",/guides/,3,/guides/chip-encyclopedias/; /guides/mifare-desfire-ev3-commands-reference/,security,product specification|security,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (academic/vendor),Medium,CITE_PRIMARY_SOURCE (paper / vendor security note),—
C-0043,"Shipping since 2008, it brought triple-DES mutual authentication (16-byte key, NIST SP 800-67) to single-use and short-life credentials on the ISO 14443-A Part 3 layer.",/guides/,3,/guides/chip-encyclopedias/; /guides/mifare-ultralight-c-chip-encyclopedia/,certification,certification|company identity|security,body|jsonld,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0044,"Successor SLIX2 (SL2S2602) raises user memory to 2,528 bits and adds 64-bit password protection, PRIVACY mode, and DESTROY.",/guides/,3,/guides/chip-encyclopedias/; /guides/icode-slix-chip-encyclopedia/,product specification,product specification,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0045,"Read range reaches ~1.5 m on large library-gate antennas, which is why the family dominates library-book tags, HF laundry chips, and museum exhibit tagging.",/guides/,3,/guides/chip-encyclopedias/; /guides/icode-slix-chip-encyclopedia/,certification,certification|test result,body|jsonld,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0046,Monza R6 introduced AutoTune (a chip-integrated feature that auto-calibrates antenna impedance in the field) and AutoPilot power management.,/guides/,3,/guides/chip-encyclopedias/; /guides/monza-r6-family-chip-encyclopedia/,product specification,product specification,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0047,Monza R6-P added extended user memory and a higher peak temperature rating.,/guides/,3,/guides/chip-encyclopedias/; /guides/monza-r6-family-chip-encyclopedia/,product specification,product specification,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0048,"This encyclopedia documents UCODE 8's memory layout, EPC Gen2 v2 command support, sensitivity envelope, the UCODE 8 versus UCODE 8m distinction, and the specific deployment classes where UCODE 8 remains the correct choice in 2026 even as UCODE 9 takes the sensitivity crown.",/guides/,3,/guides/chip-encyclopedias/; /guides/ucode-8-uhf-chip-encyclopedia/,customer result,customer result|product specification,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,LABEL_AS_EXAMPLE unless deployment records + permission exist,Customer permission; measurement records; baseline; sample size; period; hardware config
C-0049,"Shipping since 2020, it extends the EPC Gen2 v2 standard with a best-in-class read sensitivity (-23.5 dBm), a self-adjust sensitivity mode, a fast Session-0-to-Session-2 transition, optional Untraceable and Authenticate commands, and sufficient user memory for a 96-bit EPC plus backup serial data.",/guides/,3,/guides/chip-encyclopedias/; /guides/ucode-9-uhf-chip-encyclopedia/,company identity,company identity|product specification,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0050,"It is the chip behind most of the retail apparel, linen-management, supply-chain, and library RFID volume shipped since 2021.",/guides/,3,/guides/chip-encyclopedias/; /guides/ucode-9-uhf-chip-encyclopedia/,company identity,company identity,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0051,"EM4100 is the read-only, Manchester-encoded 40-bit-ID reference chip shipping since the early 1990s; EM4305 is its writable 512-bit-EEPROM sibling with optional 32-bit password protection and a 134.2 kHz animal-ID mode.",/guides/,3,/guides/chip-encyclopedias/; /guides/em4100-em4305-t5577-lf-chip-encyclopedia/,product specification,product specification,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0052,"T5577 is the programmable universal emulator that can impersonate EM4100, HID Prox, Indala, ioProx, AWID and other proprietary LF formats.",/guides/,3,/guides/chip-encyclopedias/; /guides/em4100-em4305-t5577-lf-chip-encyclopedia/,product specification,product specification,body|jsonld,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0053,Every unit needs a GS1 SGTIN-96 EPC — Company Prefix + GTIN + unique 38-bit serial — verified by tunnel readers at DC receiving against Walmart's 98.0% first-pass read target.,/guides/,3,/guides/compliance-regulatory/; /guides/walmart-rfid-tagging-mandate/,legal/regulatory,legal/regulatory|product specification,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
C-0054,Non-compliance means automated per-unit chargebacks; source tagging at the factory runs $0.05-0.12 per tag versus $0.20-0.50 for DC tagging.,/guides/,3,/guides/compliance-regulatory/; /guides/walmart-rfid-tagging-mandate/,manufacturing capability,legal/regulatory|manufacturing capability|price,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0055,"Covering where each retailer's requirements align around GS1 SGTIN-96 encoding, where they diverge (tag placement, ARC certification categories, ASN formats, verification cadence), the source-tagging operating model that covers multiple retailers simultaneously, inlay selection by product material, and the governance that keeps multi-retailer programmes from fragmenting.",/guides/,3,/guides/compliance-regulatory/; /guides/item-level-rfid-tagging-mandate/,certification,certification,body|jsonld,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0056,"Covering unit-level serialization requirements, the EPCIS transaction-data architecture that trading partners must exchange, how RFID and NFC accelerate saleable-returns verification, aggregation hierarchies from unit to case to pallet, NTAG 424 DNA cryptographic authentication, cold-chain pharmaceutical tag selection, and the stabilization-period enforcement context suppliers still operate under.",/guides/,3,/guides/compliance-regulatory/; /guides/fda-rfid-pharmaceutical-tracking/,health/safety,health/safety|product specification,body|jsonld,editorial sources[] present on page,UNVERIFIED,High,CITE_PRIMARY_SOURCE (official text) + LEGAL_REVIEW,Link to the regulation/guidance text; counsel review of the sentence
