URL,Status,Indexability,Google coverage (URL Inspection 2026-09-02),Last crawl (Google),Canonical,Page type,Primary entity (H1),Primary intent,Main words,SVG words,Collapsed <details> words,Internal inlinks (all),Internal inlinks (in-content),Outlinks internal,Outlinks external,Schema,Last modified (sitemap),dateModified (JSON-LD),Duplicate cluster,Conversion action,Title len,Desc len,og:image,Risk,Recommendation
/about/disclosures/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/disclosures/,about,Disclosures & Affiliations,trust,1377,0,221,536,8,5,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-05,2026-07-05,,,38,146,.svg,no CTA in content; og:image SVG,IMPROVE
/about/editorial-policy/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/editorial-policy/,about,Editorial Policy,trust,1266,0,181,536,6,4,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-04-17,2026-04-17,,,28,147,.webp,no CTA in content,IMPROVE
/about/factory/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/factory/,about,Inside the Proud Tek Factory,trust,1971,0,331,539,16,9,3,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-11,2026-07-11T11:00:00Z,,"/contact/,/rfq/",49,147,.webp,,KEEP
/about/leadership/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/leadership/,about,Proud Tek Leadership and Engineering Team,trust,1804,0,288,536,1,8,1,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-05-12,2026-05-12,,"/contact/,/rfq/",41,148,.svg,og:image SVG,IMPROVE
/about/methodology/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/methodology/,about,Testing Methodology,trust,1436,0,233,536,7,8,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-06-11,2026-06-11T11:00:00Z,,,31,106,.svg,no CTA in content; og:image SVG,IMPROVE
/about/privacy-policy/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/privacy-policy/,about,Privacy Policy,trust,1259,0,173,536,1,5,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-05,2026-07-05T00:00:00Z,,/rfq/,26,151,.svg,og:image SVG,IMPROVE
/about/review-board/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/review-board/,about,Editorial & Review Board,trust,1593,0,245,539,514,5,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-06-10,2026-06-10,,,36,95,.webp,no CTA in content,IMPROVE
/about/terms-of-use/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/terms-of-use/,about,Terms of Use,trust,1385,0,170,536,1,5,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-05,2026-07-05T00:00:00Z,,/rfq/,24,143,.svg,og:image SVG,IMPROVE
/blog/,200,indexable,Submitted and indexed,2026-08-30,https://proudtek.com/blog/,blog-index,RFID & NFC Knowledge Base,informational,3384,0,0,537,2,113,0,Blog|BreadcrumbList,2026-03-16,,,,59,153,,no CTA in content,IMPROVE
/blog/access-card-copied-security-upgrade/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/access-card-copied-security-upgrade/,blog-post,Access Card Copied? How to Upgrade Security,informational,2303,0,419,67,5,10,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/access-control-keyfobs/,/rfq/",60,150,.svg,og:image SVG,IMPROVE
/blog/ai-rfid-inventory-management/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/ai-rfid-inventory-management/,blog-post,AI and RFID Inventory Management for Retail,informational,2534,0,543,44,3,7,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/rfid-labels-tags/,/rfq/",60,138,.svg,og:image SVG,IMPROVE
/blog/anti-counterfeit-nfc-luxury-bags/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/anti-counterfeit-nfc-luxury-bags/,blog-post,Anti-Counterfeit NFC for Luxury Bags,informational,2128,0,372,39,5,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-06,2026-07-06,,"/contact/nfc-branding-cards/,/rfq/",53,104,.svg,og:image SVG,IMPROVE
/blog/anti-counterfeiting-rfid-events/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/anti-counterfeiting-rfid-events/,blog-post,Anti-Counterfeiting RFID Solutions for Events,informational,2314,0,405,9,4,10,5,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/event-rfid/,/rfq/",62,136,.svg,title>60; og:image SVG,IMPROVE
/blog/autoclave-compatible-rfid-tags-sterile-environments/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/autoclave-compatible-rfid-tags-sterile-environments/,blog-post,Autoclave-Compatible RFID Tags,informational,2092,0,453,4,4,8,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",63,123,.svg,title>60; og:image SVG,IMPROVE
/blog/barcode-labels-peeling-warehouse-rfid-solution/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/barcode-labels-peeling-warehouse-rfid-solution/,blog-post,Warehouse Barcode Labels Peeling? The RFID Fix,informational,2072,0,466,10,3,10,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T18:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",63,150,.svg,title>60; og:image SVG,IMPROVE
/blog/best-rfid-card-for-hotels/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/best-rfid-card-for-hotels/,blog-post,What Is the Best RFID Card for Hotels?,informational,2854,0,517,8,7,11,7,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-10,2026-07-10T12:00:00Z,,"/contact/hotel-rfid/,/rfq/",55,151,.svg,og:image SVG,IMPROVE
/blog/brand-protection-rfid-spot-counterfeits/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/brand-protection-rfid-spot-counterfeits/,blog-post,Brand Protection RFID,informational,2073,0,376,7,3,7,2,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/nfc-branding-cards/,/rfq/",62,92,.svg,title>60; og:image SVG,IMPROVE
/blog/case-study-3pl-rfid-99-percent-inventory-accuracy/,200,indexable,Submitted and indexed,2026-07-09,https://proudtek.com/blog/case-study-3pl-rfid-99-percent-inventory-accuracy/,blog-post,Case Study,informational,2349,0,467,9,5,9,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T10:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",62,149,.jpg,title>60,IMPROVE
/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate/,blog-post,Case Study,informational,2551,0,446,12,8,8,2,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-06-11,2026-06-11T10:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",61,147,.jpg,title>60,IMPROVE
/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction/,blog-post,Case Study,informational,2275,0,439,7,3,9,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/hotel-rfid/,/contact/nfc-branding-cards/,/rfq/",61,110,.svg,competing CTAs; title>60; og:image SVG,IMPROVE
/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention/,blog-post,Case Study,informational,2293,0,353,8,4,9,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T10:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",60,153,.svg,og:image SVG,IMPROVE
/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent/,blog-post,Case Study,informational,1870,0,307,7,3,8,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T10:00:00Z,,"/contact/nfc-branding-cards/,/rfq/",60,116,.svg,og:image SVG,IMPROVE
/blog/china-rfid-factory-audit-checklist/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/china-rfid-factory-audit-checklist/,blog-post,China RFID Factory Audit,informational,2204,0,345,17,14,9,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/custom-rfid-cards/,/contact/rfid-labels-tags/,/rfq/",59,148,.jpg,competing CTAs,IMPROVE
/blog/coconut-shell-rfid-wristbands-eco/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/coconut-shell-rfid-wristbands-eco/,blog-post,Coconut Shell RFID Wristbands for Eco Events,informational,2144,0,377,3,2,7,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/event-rfid/,/rfq/",61,124,.svg,title>60; og:image SVG,IMPROVE
/blog/cost-per-rfid-tag-2026/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/cost-per-rfid-tag-2026/,blog-post,Cost Per RFID Tag in 2026,informational,2652,0,464,8,8,14,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/rfid-labels-tags/,/rfq/",58,113,.svg,og:image SVG,IMPROVE
/blog/department-store-rfid-smart-shelf-eas/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/department-store-rfid-smart-shelf-eas/,blog-post,Department Store RFID,informational,2093,0,393,2,2,7,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/rfid-labels-tags/,/rfq/",60,100,.svg,og:image SVG,IMPROVE
/blog/desfire-ev1-vs-ev2-vs-ev3/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/desfire-ev1-vs-ev2-vs-ev3/,blog-post,DESFire EV1 vs EV2 vs EV3 Security Levels,informational,2402,0,486,11,7,8,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-06-04,2026-06-04T04:19:35Z,,"/contact/custom-rfid-cards/,/rfq/",58,152,.jpg,,KEEP
/blog/difference-nfc-rfid-explained/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/difference-nfc-rfid-explained/,blog-post,What Is the Difference Between NFC and RFID?,informational,2333,0,385,3,3,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,/rfq/,61,100,.svg,title>60; og:image SVG,IMPROVE
/blog/digital-product-passports-nfc/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/digital-product-passports-nfc/,blog-post,Digital Product Passports and NFC Tags,informational,2588,0,452,9,9,13,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/nfc-branding-cards/,/rfq/",55,146,.svg,og:image SVG,IMPROVE
/blog/dscsa-phase-3-pharmaceutical-wholesaler-compliance/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/dscsa-phase-3-pharmaceutical-wholesaler-compliance/,blog-post,DSCSA Phase 3,informational,2314,0,370,5,3,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-06-10,2026-06-10T18:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",63,152,.jpg,title>60,IMPROVE
/blog/eco-friendly-rfid-sustainable-cards/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/eco-friendly-rfid-sustainable-cards/,blog-post,Eco-Friendly RFID,informational,2342,0,385,3,3,10,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/custom-rfid-cards/,/rfq/",62,143,.svg,title>60; og:image SVG,IMPROVE
/blog/eu-battery-passport-rfid-nfc-implementation/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/eu-battery-passport-rfid-nfc-implementation/,blog-post,EU Battery Passport,informational,2242,0,452,8,7,5,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/nfc-branding-cards/,/rfq/",62,141,.jpg,title>60,IMPROVE
/blog/eu-espr-digital-product-passport-apparel/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/eu-espr-digital-product-passport-apparel/,blog-post,EU ESPR Digital Product Passport for Apparel,informational,2786,0,566,6,5,7,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/nfc-branding-cards/,/rfq/",61,147,.svg,title>60; og:image SVG,IMPROVE
/blog/eu-fmd-vs-dscsa-pharmaceutical-serialization/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/eu-fmd-vs-dscsa-pharmaceutical-serialization/,blog-post,EU FMD vs DSCSA,informational,2102,0,359,3,1,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T18:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",57,149,.svg,og:image SVG,IMPROVE
/blog/google-review-nfc-cards-restaurants/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/google-review-nfc-cards-restaurants/,blog-post,Google Review NFC Cards for Restaurants,informational,2491,0,398,8,4,12,5,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09,T-dup,"/contact/nfc-branding-cards/,/rfq/",56,141,.svg,duplicate title; og:image SVG,IMPROVE
/blog/hipaa-compliant-patient-id-rfid-wristband/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hipaa-compliant-patient-id-rfid-wristband/,blog-post,HIPAA-Compliant Patient ID RFID Wristbands,informational,2061,0,385,7,5,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",59,113,.svg,og:image SVG,IMPROVE
/blog/hospital-linen-rfid-joint-commission-audit/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hospital-linen-rfid-joint-commission-audit/,blog-post,Hospital Linen RFID,informational,2116,0,353,6,4,7,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-11,2026-07-11T12:00:00Z,,"/contact/laundry-rfid/,/rfq/",61,150,.svg,title>60; og:image SVG,IMPROVE
/blog/hospital-surgical-instrument-rfid-tracking/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hospital-surgical-instrument-rfid-tracking/,blog-post,Hospital Surgical Instrument RFID Tracking,informational,2400,0,353,5,4,8,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07T12:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",59,151,.svg,og:image SVG,IMPROVE
/blog/hotel-key-card-not-working-troubleshooting/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hotel-key-card-not-working-troubleshooting/,blog-post,Hotel Key Card Not Working? Check These First,informational,2901,0,559,8,8,8,7,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/hotel-rfid/,/rfq/",62,141,.svg,title>60; og:image SVG,IMPROVE
/blog/hotel-key-card-suppliers-guide/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hotel-key-card-suppliers-guide/,blog-post,How to Choose Hotel Key Card Suppliers,informational,2964,0,778,4,4,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/hotel-rfid/,/rfq/",55,145,.svg,og:image SVG,IMPROVE
/blog/hotel-keycard-deactivated-phone-magnet/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/hotel-keycard-deactivated-phone-magnet/,blog-post,Hotel Keycard Deactivated by Phone Magnet?,informational,2796,0,542,6,5,6,3,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T10:00:00Z,,"/contact/hotel-rfid/,/rfq/",59,147,.svg,og:image SVG,IMPROVE
/blog/how-far-uhf-rfid-tag-read/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/how-far-uhf-rfid-tag-read/,blog-post,How Far Can a UHF RFID Tag Be Read?,informational,2306,0,478,10,10,8,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/rfid-readers/,/rfq/",52,146,.svg,og:image SVG,IMPROVE
/blog/how-hotel-rfid-key-cards-work/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/how-hotel-rfid-key-cards-work/,blog-post,How Hotel RFID Key Cards Work,informational,2792,0,638,17,15,11,4,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-09,2026-07-09,,"/contact/hotel-rfid/,/rfq/",46,154,.svg,og:image SVG,IMPROVE
/blog/how-nfc-tags-work-smartphones/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/how-nfc-tags-work-smartphones/,blog-post,How NFC Tags Work with Smartphones,informational,2658,0,490,5,4,8,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/nfc-branding-cards/,/rfq/",51,126,.svg,og:image SVG,IMPROVE
/blog/how-rfid-readers-work/,200,indexable,URL is unknown to Google,,https://proudtek.com/blog/how-rfid-readers-work/,blog-post,How RFID Readers Work,informational,2770,0,500,11,5,12,3,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/rfid-readers/,/rfq/",61,151,.svg,title>60; og:image SVG; unknown to Google,IMPROVE
/blog/how-to-program-nfc-tags/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/how-to-program-nfc-tags/,blog-post,How to Program NFC Tags and Stickers,informational,2731,0,553,7,6,9,2,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/nfc-branding-cards/,/rfq/",53,151,.svg,og:image SVG,IMPROVE
/blog/item-level-rfid-cosmetics-authentication/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/item-level-rfid-cosmetics-authentication/,blog-post,Item-Level RFID for Cosmetics,informational,2391,0,467,8,4,6,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-07,2026-07-07,,"/contact/nfc-branding-cards/,/rfq/",61,109,.png,title>60,IMPROVE
/blog/java-cards-smart-card-os-explained/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/java-cards-smart-card-os-explained/,blog-post,Java Cards and Smart Card OS Explained,informational,3051,0,519,2,2,7,3,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/custom-rfid-cards/,/rfq/",55,149,.svg,og:image SVG,IMPROVE
/blog/luxury-resale-nfc-authentication/,200,indexable,URL is unknown to Google,,https://proudtek.com/blog/luxury-resale-nfc-authentication/,blog-post,Luxury Resale Authentication with NFC,informational,2262,0,425,8,4,5,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/nfc-branding-cards/,/rfq/",54,98,.svg,og:image SVG; unknown to Google,IMPROVE
/blog/macys-rfid-vendor-compliance-guide/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/macys-rfid-vendor-compliance-guide/,blog-post,Macy's RFID Vendor Compliance,informational,2571,0,515,7,5,8,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/rfid-labels-tags/,/rfq/",59,119,.svg,og:image SVG,IMPROVE
/blog/manual-inventory-counting-errors-rfid/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/manual-inventory-counting-errors-rfid/,blog-post,How RFID Ends Manual Inventory Counting Errors,informational,2140,0,306,11,3,9,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T12:00:00Z,,"/contact/rfid-labels-tags/,/rfq/",63,154,.svg,title>60; og:image SVG,IMPROVE
/blog/medical-device-udi-rfid-combined-implementation/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/medical-device-udi-rfid-combined-implementation/,blog-post,Medical Device UDI + RFID,informational,1963,0,334,5,3,5,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/rfid-labels-tags/,/rfq/",61,139,.svg,title>60; og:image SVG,IMPROVE
/blog/metal-nfc-cards-business-networking/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/metal-nfc-cards-business-networking/,blog-post,Metal NFC Cards,informational,2379,0,404,8,4,8,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09,,"/contact/nfc-branding-cards/,/rfq/",61,150,.svg,title>60; og:image SVG,IMPROVE
/blog/mifare-classic-vs-desfire-hotel-chips/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/mifare-classic-vs-desfire-hotel-chips/,blog-post,MIFARE Classic vs DESFire,informational,2643,0,654,15,11,9,5,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09,,"/contact/hotel-rfid/,/rfq/",62,99,.svg,title>60; og:image SVG,IMPROVE
/blog/nfc-business-cards-guide/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/nfc-business-cards-guide/,blog-post,NFC Business Cards,informational,2456,0,499,8,4,10,2,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-08,2026-07-08,,"/contact/nfc-branding-cards/,/rfq/",55,133,.svg,og:image SVG,IMPROVE
/blog/nfc-card-clone-security-prevention/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/nfc-card-clone-security-prevention/,blog-post,NFC Card Cloning,informational,2411,0,480,5,3,10,2,Article|BreadcrumbList|FAQPage|HowTo|Organization|WebPage|WebSite,2026-07-09,2026-07-09T10:00:00Z,,"/contact/access-control-keyfobs/,/rfq/",56,128,.svg,og:image SVG,IMPROVE
/blog/nfc-christmas-gift-tags/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/blog/nfc-christmas-gift-tags/,blog-post,NFC Christmas Gift Tags with Video Messages,informational,2372,0,401,2,2,10,3,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09,,"/contact/nfc-branding-cards/,/rfq/",60,118,.svg,og:image SVG,IMPROVE
/blog/nfc-door-locks-rfid-cards/,200,indexable,URL is unknown to Google,,https://proudtek.com/blog/nfc-door-locks-rfid-cards/,blog-post,How NFC Door Locks Work with RFID Cards,informational,2120,0,412,6,3,7,4,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09T00:00:00Z,,"/contact/access-control-keyfobs/,/rfq/",56,153,.svg,og:image SVG; unknown to Google,IMPROVE
/blog/nfc-product-authentication/,200,indexable,URL is unknown to Google,,https://proudtek.com/blog/nfc-product-authentication/,blog-post,NFC Tags for Product Authentication,informational,2312,0,450,8,4,11,5,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-07-09,2026-07-09,,"/contact/nfc-branding-cards/,/rfq/",52,103,.svg,og:image SVG; unknown to Google,IMPROVE
