Claim ID,Exact claim (condensed),URL(s),Claim type,Current source,Evidence status,Risk,Recommended treatment,Required owner evidence
K-14,"""Founder and engineering lead … since 2008""; ""same management team since 2008""; ""Founded Proud Tek in 2008 after a decade in contactless chip and inlay supply""; ""senior engineers … 5-10 years tenure""; Review board: Peter Zhang (Founder & Editor-in-Chief), Nancy Wu (Industrial-Laundry Program Manager), Mia Li (Quality & Manufacturing Engineer); board ""identity check … credential verification""",/about/leadership/ ; /about/review-board/ ; author JSON,company identity / authorship,none (Made-in-China lists Nancy Wu as contact),UNVERIFIED — plausible (Nancy Wu appears on MIC profile) but no public profiles linked; 491 pages authored by one person in ~4 months while editorial policy discloses LLM drafting,High,"REQUEST_FIRST_PARTY_EVIDENCE (public profiles, roles); QUALIFY authorship wording to ""drafted with AI assistance, edited and approved by <name>"" consistently in HTML, JSON-LD, mirrors",LinkedIn or company-record links; role confirmation
S-01,"""A specialist replies within one business day"" (homepage, RFQ, sample-pack, leadership: ""First response within 1 business day… urgent same business day""); FAQ page: ""We usually quote within 24 hours""; Made-in-China: ""Reply within 6 hours""; rfidak.com: ""reply in 2–4 hours""",site-wide (≥500 pages),lead time (service),none,UNVERIFIED and INCONSISTENT (1 business day / 24 h / 6 h / 2–4 h),Medium,"QUALIFY to one measured SLA (""median first reply X h, measured <period>"") or keep one promise everywhere; align FAQ",Helpdesk/mailbox response-time export for 90 days
S-02,"Free sample pack: ""8–12 real production-grade SKUs across LF/HF/UHF"", ""content free, buyer pays DHL/FedEx ($25–60)"", ""lands in 5–10 business days"", ""custom samples $30–$100"", ""up to three custom chip/form-factor additions at no incremental cost"", ""printed 2-page spec card in every pack"", ""NXP originality signature on NTAG/ICODE parts""",/sample-pack/ ; /faq/ ; /,lead time / price / MOQ,none,"UNVERIFIED (policy statements; originality-signature claim is EXTERNAL_PRIMARY_SOURCE for NTAG21x — NXP datasheet Rev 3.2 §""ECC based originality signature"")",Medium,RETAIN policy only if owner confirms it is operated as written; REQUEST sample-log evidence; keep NXP citation,"Sample-request log (count, ship dates); pack BOM"
S-03,"MOQ statements conflict: trust strip ""500-piece MOQ per chip type"" (188 pages); COMMERCIAL_TERMS on every product ""stock items from 100 pcs; custom typically 200-1,000 pcs""; About ""Production MOQs are typically 1,000-5,000 pieces per SKU""; product briefs 500 / 1,000 / 5,000 / 10,000; llms.txt per-family MOQs",site-wide,MOQ,none,UNVERIFIED and INCONSISTENT,High,Single MOQ table (per family) owned by sales; CONVERT all text to reference it; REQUEST_FIRST_PARTY_EVIDENCE,Current MOQ policy signed by sales lead
S-04,"Lead-time statements: COMMERCIAL_TERMS ""Production 2-3 weeks after artwork sign-off; reorders 3-4 weeks""; product briefs ""15-20 days"" (61 pages), ""12-18"", ""10-15""; Factory page ""call-offs ship within 3-5 business days""; sample pack ""7–14 days evaluation batch""",site-wide,lead time,none,UNVERIFIED (broadly coherent; not evidenced),Medium,"QUALIFY as ""typical"" with a dated basis; REQUEST order-to-ship records","Production records: order date vs ship date, last 12 months"
S-05,"""Typical pricing: USD a–b /pc @ qty (typical FOB Shenzhen range)"" on 101 product pages (e.g. MIFARE Classic 1K 0.30–0.50 @ 5k–50k; DESFire EV3 0.80–2.00; NTAG213 sticker 0.10–0.30 @ 5k+; UHF hard tag 0.60–2.50; wristbands 0.30–1.50/band @ 500+)",/products/** (101 pages),price,none,"UNVERIFIED — figures are consistent per family and plausible, but no quote/price-list basis; the uncommitted AggregateOffer change would push them into machine-readable data",High,"REQUEST_FIRST_PARTY_EVIDENCE (dated price list); if confirmed → RETAIN with ""as of <month year>"" and emit AggregateOffer; if not → REMOVE numbers, keep ""quote in one business day""",Signed indicative price list or 12-month quote log per family
S-06,"Cost-estimator tool and pricing blog figures (/tools/rfid-tag-cost-estimator/, /blog/cost-per-rfid-tag-2026/, /blog/total-cost-rfid-system-breakdown/, /blog/rfid-tag-moq-negotiation-strategy/)",/tools/ ; /blog/*cost*,price,none / unknown,UNVERIFIED (formula inputs not sourced),Medium,"CONVERT_TO_CALCULATION with disclosed inputs and ""illustrative"" label; LABEL_AS_EXAMPLE",Input basis for the estimator constants
CS-00,"Case-study pillar: ""Documented Proud Tek RFID and NFC deployments""; ""operational results measured after go-live""; ""The six published case studies are the ones with the strongest documentation and customer permission to share""; ""reference calls available subject to NDA""",/case-studies/,customer result,none,"UNVERIFIED — no permission letters, measurement records or reference contacts in repo; every case is unnamed",High (P0 if untrue),"REQUEST_FIRST_PARTY_EVIDENCE for each case; any case without records → LABEL_AS_EXAMPLE (""illustrative worked example based on typical programme parameters"") or REMOVE; LEGAL_REVIEW of the pillar sentences","Per case: customer name (internal), permission email, source data for each number, hardware/tag config, period"
CS-01,"28-property SE-Asia hotel group; 2.4M cards/yr; 41% cost reduction; 350,000 / 100,000 card lots; ""Customer name withheld under brand-standard NDA""",/case-studies/hospitality-hotel-key-card-rollout/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-02,European uniform-rental operator; 1.8M garments; 250+ wash cycles; 99.4% / 99.7% read rates; 40% reduction,/case-studies/industrial-laundry-pps-rfid-tag/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-03,"US municipal library, 47 branches, 1.4M items, 24 months; 0.5%",/case-studies/library-icode-slix2-self-service/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-04,"European festival; 180,000 UHF wristbands; 200,000 shipped 28 days before; 0.3% failure",/case-studies/music-festival-uhf-wristband/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-05,US specialty-pharmacy distributor; **380 million** item-level UHF labels/yr for DSCSA; 99.96%,/case-studies/pharmaceutical-dscsa-uhf-rfid/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-06,"US fast-casual chain, 412 stores; reviews 14 → 43 per store/month (3.1×)",/case-studies/restaurant-google-review-nfc-card/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-07,North American apparel retailer; 11M tags/yr; 340 stores; accuracy 67% → 98%; 26%,/case-studies/retail-apparel-uhf-rfid-source-tagging/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-08,"110,000 sqft 3PL; 87% → 99.2% accuracy; dollar figures ($187, $312, $142 …)",/blog/case-study-3pl-rfid-99-percent-inventory-accuracy/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-09,Women's apparel brand; Walmart 14-week ultimatum; 99.2% read rate vs 95% threshold; factories in Vietnam/Bangladesh,/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-10,"Boutique hotel group, 78 rooms, 11 weeks; 41% cost reduction; $3,200/yr encoder repairs; NPS",/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-11,"380-bed hospital; 14 ORs + 2 trauma bays; ""zero retained surgical sponges""; ~$166K/RSI (PA Patient Safety Authority via STERIS 2023)",/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
CS-12,6-location restaurant group; Google reviews +320% in 90 days; dollar figures,/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent/,customer result,vendor datasheet/standard citations only (no customer records),"UNVERIFIED — anonymous; no permission, records, sample size or method disclosed; numbers precise to 0.1 %",High,"REQUEST_FIRST_PARTY_EVIDENCE → else LABEL_AS_EXAMPLE or REMOVE; CS-05 and CS-11 additionally LEGAL_REVIEW (regulated domains: DSCSA, patient safety)",Permission letter; original measurement data; baseline; period; hardware/tag config; sample size
P-01,"MIFARE Classic 1K: ""1 KB EEPROM organised as 16 sectors × 4 blocks × 16 bytes""; ISO/IEC 14443-3 Type A, 106 kbit/s; CRYPTO1",/products/rfid-cards/mifare-classic-1k-card/,product specification,page cites NXP,"EXTERNAL_PRIMARY_SOURCE — NXP MIFARE Classic product page (checked 2026-09-02): 14443-3 Type A, 106 kbit/s, CRYPTO1, 1–4 kB EEPROM",Low,RETAIN; CITE the MF1S50yyX/V1 datasheet section,—
P-02,"""Launched by Philips Semiconductors (now NXP) in 1997 — oldest contactless smart card specification still in wide active issuance"" (Classic 1K brief) while the same page's data-highlight says ""since 1994""",/products/rfid-cards/mifare-classic-1k-card/,product specification (history),none,"**CONTRADICTED by NXP**: ""MIFARE Classic ICs started a revolution … back in 1994"" (NXP product page, checked 2026-09-02); internal inconsistency 1997 vs 1994",Medium,CORRECT to 1994 with NXP citation (not caught by the 35-rule chip lint),—
P-03,"NTAG213 ""144-byte"" user memory; NTAG215 504 B; NTAG216 888 B; ""NXP originality signature""",/products/rfid-labels/ntag213-nfc-sticker/ ; /sample-pack/ ; compare pages,product specification,pages cite NXP,EXTERNAL_PRIMARY_SOURCE — NXP NTAG213/215/216 datasheet Rev 3.2 (2015-06-02): 144/504/888 bytes user memory; ECC-based originality signature (checked),Low,RETAIN; cite datasheet section,—
P-04,"""~10 billion cumulative MIFARE ICs shipped by NXP since 1994""",/products/rfid-cards/mifare-classic-1k-card/,market statistic,none on page,UNVERIFIED — NXP press materials have cited multi-billion MIFARE shipments; exact figure and date needed,Medium,"CITE_PRIMARY_SOURCE (NXP press release with date) or QUALIFY (""billions"")",—
P-05,"""a USD 30 Flipper Zero clones a MIFARE Classic 1K card in under 60 seconds"" (data-highlight)",/products/rfid-cards/mifare-classic-1k-card/,security,none,UNVERIFIED — Crypto-1 weakness is EXTERNAL_PRIMARY_SOURCE material (Garcia et al. 2008); the device price/time claim is unsourced,Medium,QUALIFY + CITE academic source for Crypto-1; drop device price/time or source it,—
P-06,"Read-range / durability figures across product pages (""200+ wash cycles"", ""IP68"", ""-40 °C to +85 °C"", ""up to X m read range"") — 2,310 candidate sentences",/products/** ; /solutions/**,test result,methodology page describes ISO 6330 / ISO/IEC 18046 protocols,"UNVERIFIED — methodology page promises disclosed conditions and n ≥ 30, but product pages rarely state reader, power, antenna, orientation or n",Medium,"ADD_TEST_CONDITIONS on every figure or mark ""datasheet value (vendor), not Proud Tek-tested""; REQUEST test reports for figures presented as Proud Tek results",Lab test reports per SKU
C-01,"Hotel-lock compatibility guides (8): per-generation chip acceptance for Be-Tech, Häfele Dialock, MIWA, Onity, Saflok, SALTO, Vingcard (+1); security history (Onity DEF CON 2012, Vingcard F-Secure 2018, SALTO 2019 CVEs); PMS/encoder version notes",/compatibility/*,compatibility,"17–28 sources per page (vendor manuals, CVE/press)","Mixed: vendor-history statements are EXTERNAL_SECONDARY/PRIMARY where cited; *""which card SKU works on which lock generation""* is UNVERIFIED (no Proud Tek test matrix)",High,"QUALIFY every acceptance statement with ""confirm with a sample on your estate""; REQUEST_FIRST_PARTY_EVIDENCE (compatibility test log: lock model, firmware, card SKU, date); keep cited history",Compatibility test matrix
C-02,"Reader/phone compatibility: ""PC/SC"", ""free SDKs"", ""works with iPhone (iOS Core NFC, iPhone XS+) and Android HCE""",/products/rfid-readers/* ; /guides/nfc-business-card-iphone-android-compatibility/ ; /industries/eu-compliance/,compatibility,partial,"UNVERIFIED for reader SKUs (no model numbers/drivers cited); iOS/Android NFC facts are EXTERNAL_PRIMARY_SOURCE material (Apple Core NFC docs, Android HCE docs) if cited",Medium,CITE Apple/Android developer docs; list reader model + driver + OS versions tested,Reader spec sheets; test log
R-01,"DSCSA statements (industries/pharmaceutical, healthcare, CS-05): ""US Drug Quality and Security Act + DSCSA (21 USC §360eee) — phased implementation 2015-2024""; ""check FDA's current stabilisation-period position""",/industries/pharmaceutical/ ; /industries/healthcare/,legal/regulatory,10 sources listed (titles empty in JSON),EXTERNAL_PRIMARY_SOURCE available (FDA DSCSA pages) — cited generically; the 380M-unit case is UNVERIFIED,High,"CITE the specific FDA page/date next to each dated statement; LEGAL_REVIEW of any ""requires/mandatory"" wording",—
R-02,"EU ESPR/DPP: ""Regulation 2024/1781 adopted June 2024""; ""textile delegated act pending 2027-2028; electronics 2028-2029""; ""Battery Passport mandatory February 2027 for batteries above 2 kWh (Reg. 2023/1542)""; blog: ""DPP requires apparel brands to attach scannable identifiers""; cost ""$0.80 per DPP""",/solutions/digital-product-passport/ ; /industries/eu-compliance/ ; /blog/eu-espr-digital-product-passport-apparel/,legal/regulatory,20 / 10 / 0 sources,"Regulation numbers and adoption are EXTERNAL_PRIMARY_SOURCE (EUR-Lex) if linked; delegated-act timing is forecast → must be QUALIFIED; blog ""requires"" is premature (delegated acts pending); cost figures UNVERIFIED",High,"CITE EUR-Lex per regulation; QUALIFY timelines as ""Commission planning as of <date>""; LABEL cost figures as illustrative or REMOVE; LEGAL_REVIEW",—
R-03,"Healthcare: ""AABB and FDA require ISBT 128 barcode as the primary blood-product identifier""; ""Validation per 21 CFR Part 11 (3-6 months)""; ""41-86% medication-error reduction (AHRQ BCMA evidence)""; ""97%+ retained-sponge detection accuracy""; ""FDA cleared since 2006"" (sponge system); ""AORN … count cannot be considered complete until the adjunct confirms""",/blog/rfid-blood-bank-tracking-fda-21-cfr-part-11/ (0 sources) ; /industries/healthcare/ ; /blog/rfid-surgical-sponge-counting-fda-aorn/,health/safety / legal,0–10 sources,"UNVERIFIED as written: FDA does not itself mandate ISBT 128 (AABB Standards do; FDA recognises it) → needs precise wording; AHRQ/AORN figures need exact citations; ""97%+"" unsourced",High,"CITE_PRIMARY_SOURCE (AABB Standards, FDA guidance, AHRQ report, AORN guideline, FDA 510(k) number) sentence-by-sentence; LEGAL_REVIEW; remove unsourced percentages",—
R-04,"HIPAA/GDPR/UDI statements on patient tracking; ""RFID + RTLS data is PHI""",/solutions/rfid-patient-tracking/,legal/regulatory,21 sources,"EXTERNAL_PRIMARY_SOURCE available (45 CFR 160/164, GDPR) — verify each citation supports the exact sentence",Medium,"CITE next to sentence; QUALIFY legal interpretations (""generally treated as PHI when linked to identity"")",—
R-05,"""Walmart handed a brand a 14-week ultimatum … 95% threshold … first of the two attempts Walmart allows"" (CS-09) and Walmart-mandate statements elsewhere",/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate/,legal/regulatory (retail mandate) + customer result,0 sources,"UNVERIFIED — Walmart supplier requirements are published to suppliers, not public; specifics (95 %, two attempts) unsourced",High,CITE Walmart public supplier communications or QUALIFY; LABEL case as example unless evidenced; avoid asserting Walmart internal policy,—
G-01,"llms.txt: ""ISO 9001:2015 certified manufacturing (SGS audited)""; ""RoHS, CE, REACH compliant products""; ""17+ years""; llms-full: ""500+ enterprise clients, 50+ countries""; machine mirrors: ""Author: Proud Tek Co., Limited"", ""Credentials: ISO 9001:2015, ISO 14001:2015, RoHS Compliant, CE Marking, REACH Compliant""",/llms.txt ; /llms-full.txt ; /machine/*,certification / company identity,generated from ORGANIZATION_CREDENTIALS,Same as K-08/K-09/K-11 — UNVERIFIED or CONTRADICTED (SGS),High,Regenerate from the corrected fact registry after K-09 decisions,—
G-02,"Organization JSON-LD: legalName ""Proud Tek Co., Limited""; foundingDate 2008; numberOfEmployees 100+; sameAs list incl. wa.me",all pages,company identity,seo-content.ts,"legalName contradicts certificate (""Shenzhen Proud Tek Co., Ltd""); employees UNVERIFIED",High,Phase 10: set legalName per registration; remove numberOfEmployees until evidenced; move wa.me to contactPoint,Registration extract
T-01,"Homepage testimonials (Phil/Canada, Sladjan/Serbia, Madalina/Romania) — the Serbian quote also appears on rfidak.com attributed to ""Security solutions company""",/,customer result,none,UNVERIFIED — plausible real correspondence (also used on sister site) but no permission record,Medium,"REQUEST permission records; label as ""excerpts from customer correspondence, names used with permission""",Emails + permission
E-01,"""recycled-PVC stocks and FSC-certified paper labels available on request""; wood/bamboo card ""embodied carbon ≈ 12-25 g CO₂-eq per unit vs ≈ 40-70 g""",/about/ ; /products/rfid-keyfobs/nfc-wood-keychain-tag/ etc.,sustainability,none,UNVERIFIED — FSC claims require chain-of-custody certificate code; carbon figures need LCA source,Medium,"CITE FSC CoC code or REMOVE ""FSC-certified""; LABEL carbon figures as estimates with method or REMOVE",FSC CoC certificate; LCA source
