title_length,route,title
63,/products/rfid-labels/nfc-spirits-authentication-label/,NFC Spirits Authentication Labels — NTAG 424 DNA TT | Proud Tek
63,/products/rfid-labels/nfc-gaming-collectible-tag/,NFC Gaming & Collectible Tag — NTAG215 Amiibo-Ready | Proud Tek
63,/products/rfid-labels/nfc-electronics-warranty-label/,NFC Electronics Warranty Label — One-Tap Activation | Proud Tek
63,/products/rfid-labels/nfc-cosmetics-authentication-label/,NFC Cosmetics Authentication Labels — Tap-to-Verify | Proud Tek
63,/products/rfid-keyfobs/rfid-abs-keyfob/,ABS RFID Keyfob — IP68 Ultrasonic-Welded Credential | Proud Tek
63,/products/rfid-keyfobs/nfc-wood-keychain-tag/,NFC Wood & Bamboo Keychain Tag — FSC Eco-Credential | Proud Tek
63,/products/rfid-cards/mifare-plus-se-card/,MIFARE Plus SE Cards — AES-128 Classic Upgrade Path | Proud Tek
63,/products/rfid-cards/mifare-desfire-ev3-card/,MIFARE DESFire EV3 Cards — AES-128 Transit & Access | Proud Tek
62,/products/rfid-wristbands/rfid-tyvek-wristband/,Tyvek RFID Wristbands — Disposable VOID-on-Removal | Proud Tek
62,/products/rfid-wristbands/rfid-nylon-wristband/,RFID Nylon Wristbands — Reusable Hotel & Gym Bands | Proud Tek
62,/products/rfid-wristbands/rfid-adjustable-silicone-wristband/,Adjustable Silicone RFID Wristbands — Watch-Buckle | Proud Tek
62,/products/rfid-wristbands/pvc-rfid-wristband/,PVC RFID Wristbands — IP67 Waterproof Snap Closure | Proud Tek
62,/products/rfid-wristbands/paper-rfid-wristband/,Paper RFID Wristbands — Lowest-Cost Disposable NFC | Proud Tek
62,/products/rfid-wristbands/nfc-medical-alert-wristband/,NFC Medical Alert Wristbands — Tap-to-Read Profile | Proud Tek
62,/products/rfid-wristbands/fabric-rfid-wristband/,Fabric / Woven RFID Wristbands — Sublimation Print | Proud Tek
62,/products/rfid-tags/uhf-rfid-apparel-hang-tag/,UHF RFID Apparel Hang Tags — Retail Source Tagging | Proud Tek
62,/products/rfid-tags/rfid-wedge-tag/,RFID Wedge Tag — Clip-On UHF For Pipe & Cable Tray | Proud Tek
62,/products/rfid-tags/rfid-utility-pole-tag/,RFID Utility Pole Tag — Electric & Telecom Pole ID | Proud Tek
62,/products/rfid-tags/rfid-tree-tag/,RFID Tree Tag — Forestry & Urban-Tree Inventory ID | Proud Tek
62,/products/rfid-tags/rfid-tool-tag/,RFID Tool Tag — FOD-Ready Tool Crib & Shadow Board | Proud Tek
62,/products/rfid-tags/rfid-textile-laundry-tag/,RFID Textile Laundry Tags — Sewn-In Linen Tracking | Proud Tek
62,/products/rfid-tags/rfid-nail-tag/,RFID Nail Tag — Hammer-In UHF For Pallets & Timber | Proud Tek
62,/products/rfid-tags/rfid-high-temp-silicone-tag/,High-Temp Silicone RFID Tag — Autoclave Survivable | Proud Tek
62,/products/rfid-tags/rfid-gas-cylinder-tag/,RFID Gas Cylinder Tags — Fill Tracking & Inventory | Proud Tek
62,/products/rfid-tags/rfid-ceramic-tag/,RFID Ceramic Tag — Foundry & Heat-Treat Survivable | Proud Tek
62,/products/rfid-readers/desktop-nfc-reader-encoder/,Desktop NFC Reader / Encoder — PC/SC Card Issuance | Proud Tek
62,/products/rfid-labels/rfid-plant-nursery-label/,RFID Plant Nursery Label — UV-Stable 12 Mo Outdoor | Proud Tek
62,/products/rfid-labels/rfid-cryogenic-specimen-label/,RFID Cryogenic Specimen Labels — LN2 −196 °C Rated | Proud Tek
62,/products/rfid-labels/nfc-sneaker-authentication-tag/,NFC Sneaker Authentication Tags — NTAG 424 DNA SUN | Proud Tek
62,/products/rfid-labels/nfc-pharmaceutical-label/,NFC Pharmaceutical Labels — DSCSA Anti-Counterfeit | Proud Tek
62,/products/rfid-labels/nfc-olive-oil-authentication-label/,NFC Olive Oil Authentication Labels — PDO/PGI EVOO | Proud Tek
62,/products/rfid-labels/nfc-digital-product-passport-tag/,NFC Digital Product Passport Tags — ESPR 2024/1781 | Proud Tek
62,/products/rfid-labels/nfc-art-provenance-tag/,NFC Art Provenance Tag — NTAG 424 DNA Authenticity | Proud Tek
62,/products/rfid-keyfobs/rfid-wooden-keyfob/,"RFID Wooden Keyfob — FSC Wood, NTAG Or MIFARE Chip | Proud Tek"
62,/products/rfid-keyfobs/rfid-silicone-keyfob/,RFID Silicone Keyfob — Medical & Food-Contact IP68 | Proud Tek
62,/products/rfid-keyfobs/nfc-epoxy-key-tag/,NFC Epoxy Key Tag — Custom Die-Cut Resin-Domed Tag | Proud Tek
62,/products/rfid-cards/rfid-student-id-card/,RFID Student ID Cards — One-Card Campus Credential | Proud Tek
62,/products/rfid-cards/rfid-card-magnetic-stripe-combo/,RFID + Magstripe Combo Card — Legacy Reader Bridge | Proud Tek
61,/products/rfid-wristbands/rfid-wristband-qr-nfc/,RFID Wristbands With QR + NFC — Hybrid Credential | Proud Tek
61,/products/rfid-wristbands/rfid-vinyl-wristband/,RFID Vinyl Wristbands — Snap-Lock Multi-Day Bands | Proud Tek
61,/products/rfid-tags/uhf-rfid-woven-care-label/,UHF RFID Woven Care Labels — Permanent Sewn-In ID | Proud Tek
61,/products/rfid-tags/rfid-zip-tie-tag/,RFID Zip Tie Tag — Cable & Harness Identification | Proud Tek
61,/products/rfid-tags/rfid-tire-tag/,RFID Tire Tags — Embedded Lifecycle Tire Passport | Proud Tek
61,/products/rfid-tags/rfid-temperature-sensor-tag/,RFID Temperature Sensor Tags — Passive Cold Chain | Proud Tek
61,/products/rfid-tags/rfid-tamper-seal-tag/,RFID Tamper-Evident Seal Tags — Cargo Audit Trail | Proud Tek
61,/products/rfid-tags/rfid-silicone-flexible-tag/,RFID Silicone Flexible Tag — Bend-to-10 Mm Radius | Proud Tek
61,/products/rfid-tags/rfid-screw-tag/,RFID Screw Tag — Threaded Screw-Head UHF Asset ID | Proud Tek
61,/products/rfid-tags/rfid-pps-laundry-chip/,RFID PPS Laundry Chip — Ultra-Small Textile Embed | Proud Tek
61,/products/rfid-tags/rfid-parking-token/,RFID Parking Token — NFC / UHF Barrier Credential | Proud Tek
61,/products/rfid-tags/rfid-pallet-runner-tag/,RFID Pallet Runner Tag — Embedded UHF For Pooling | Proud Tek
61,/products/rfid-tags/rfid-oil-gas-pipe-tag/,RFID Oil & Gas Pipe Tag — Traceable Pipe-Joint ID | Proud Tek
61,/products/rfid-tags/rfid-concrete-embed-tag/,RFID Concrete Embed Tag — Cast-In UHF For Precast | Proud Tek
61,/products/rfid-tags/rfid-coin-tag/,RFID Coin Tag — Small HF/UHF Asset & Loyalty Disc | Proud Tek
61,/products/rfid-tags/rfid-cable-tie-tag/,RFID Cable Tie Tags — Asset ID For Pipes & Cables | Proud Tek
61,/products/rfid-tags/rfid-cable-seal-tag/,RFID Cable Seal Tag — Tamper-Evident Bonded Cargo | Proud Tek
61,/products/rfid-tags/rfid-animal-ear-tag/,RFID Animal Ear Tags — ISO-Compliant Livestock ID | Proud Tek
61,/products/rfid-tags/high-temperature-rfid-tag-200c/,High-Temperature RFID Tag 200 °C — Industrial UHF | Proud Tek
61,/products/rfid-labels/uhf-rfid-windshield-label/,UHF RFID Windshield Label — Gate & Parking Access | Proud Tek
61,/products/rfid-labels/uhf-rfid-apparel-hang-tag-retail/,UHF RFID Apparel Hang Tag — Walmart Mandate Ready | Proud Tek
61,/products/rfid-labels/ntag215-nfc-sticker/,NTAG215 NFC Stickers — 504-Byte Amiibo-Compatible | Proud Tek
61,/products/rfid-labels/nfc-dry-inlay/,NFC Dry Inlays — Adhesive-Free PET For Lamination | Proud Tek
61,/products/rfid-keyfobs/rfid-epoxy-keyfob/,Epoxy RFID Keyfob — IP68 Outdoor-Rated Credential | Proud Tek
61,/products/rfid-keyfobs/dual-frequency-key-fob/,"Dual-Frequency Key Fobs — One Credential, LF + HF | Proud Tek"
