file,before,after
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<title id=""t"">Factory-direct versus trading company: where the reseller margin lives in an RFID supply chain</title>","<title id=""t"">Manufacturer-direct versus trading company: where the reseller margin lives in an RFID supply chain</title>"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<desc id=""d"">Two paths compared. Path 1, through a trading company: the buyer pays a trading company that resells the order and owns no factory (marked with a red reseller-margin badge), which forwards the job to a factory the buyer never audits, so the buyer pays the factory price plus the desk's margin. Path 2, factory-direct from Proud Tek: the buyer deals straight with Proud Tek — chip, antenna, print, encode and QC specified and controlled under one ISO 9001 system — and pays the factory-gate price. A footer notes Proud Tek has supplied RFID from Shenzhen since 2008 and holds ISO 9001, 14001 and 45001 certified management systems (sales and service scope).</desc>","<desc id=""d"">Two paths compared. Path 1, through a trading company: the buyer pays a trading company that resells the order and owns no factory (marked with a red reseller-margin badge), which forwards the job to a factory the buyer never audits, so the buyer pays the factory price plus the desk's margin. Path 2, manufacturer-direct from Proud Tek: the buyer deals straight with Proud Tek — which owns the specification, chip sourcing and QC sign-off and has the antenna, print and encoding executed on contracted partner lines under one ISO 9001 system — and pays the manufacturer-direct price. A footer notes Proud Tek has supplied RFID from Shenzhen since 2008 and holds ISO 9001, 14001 and 4500"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<text x=""600"" y=""56"" text-anchor=""middle"" font-size=""21"" font-weight=""800"" letter-spacing=""0.5"" fill=""#6d5a3a"">FACTORY-DIRECT VS TRADING COMPANY</text>","<text x=""600"" y=""56"" text-anchor=""middle"" font-size=""21"" font-weight=""800"" letter-spacing=""0.5"" fill=""#6d5a3a"">MANUFACTURER-DIRECT VS TRADING COMPANY</text>"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<text x=""600"" y=""126"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Same factory. One path adds a reseller layer; the other does not.</text>","<text x=""600"" y=""126"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Same product. One path adds a reseller layer; the other does not.</text>"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<text x=""60"" y=""388"" font-size=""15"" font-weight=""800"" letter-spacing=""0.5"" fill=""#2c5454"">PATH 2 · FACTORY-DIRECT FROM PROUD TEK</text>","<text x=""60"" y=""388"" font-size=""15"" font-weight=""800"" letter-spacing=""0.5"" fill=""#2c5454"">PATH 2 · MANUFACTURER-DIRECT FROM PROUD TEK</text>"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<text x=""537"" y=""446"" text-anchor=""middle"" font-size=""17"" font-weight=""700"" fill=""#291c0e"">PROUD TEK FACTORY</text>","<text x=""537"" y=""446"" text-anchor=""middle"" font-size=""17"" font-weight=""700"" fill=""#291c0e"">PROUD TEK + PARTNER LINES</text>"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"<text x=""981"" y=""478"" text-anchor=""middle"" font-size=""15"" font-weight=""700"" fill=""#2c5454"">the factory-gate price</text>","<text x=""981"" y=""478"" text-anchor=""middle"" font-size=""15"" font-weight=""700"" fill=""#2c5454"">the manufacturer-direct price</text>"
public/diagrams/markets/shenzhen-to-germany-ddp-lanes.svg,"<desc id=""d"">Logistics diagram. On the left, the Shenzhen factory node: production five to seven business days after artwork approval with one hundred percent electrical testing. Two lanes run to the right-hand node, your German address. The air lane is DHL Express in four to six days; the sea lane runs eighteen to twenty-two days to European ports. Both lanes pass through a gold EU customs gate where, under DDP, the EORI entry, duty and nineteen percent German import VAT are settled. The destination node notes goods arrive with clearance settled and the documentation pack in the box. A bottom strip explains time zones: Shenzhen's afternoon is Munich's morning, so an RFQ sent at nine in the ","<desc id=""d"">Logistics diagram. On the left, the Shenzhen production node: production seven to fifteen business days from order confirmation approval with one hundred percent electrical testing. Two lanes run to the right-hand node, your German address. The air lane is DHL Express in four to six days; the sea lane runs eighteen to twenty-two days to European ports. Both lanes pass through a gold EU customs gate where, under DDP, the EORI entry, duty and nineteen percent German import VAT are settled. The destination node notes goods arrive with clearance settled and the documentation pack in the box. A bottom strip explains time zones: Shenzhen's afternoon is Munich's morning, so an RFQ sent"
public/diagrams/markets/shenzhen-to-germany-ddp-lanes.svg,"<text x=""205"" y=""228"" text-anchor=""middle"" font-size=""13.5"" font-weight=""800"" letter-spacing=""0.5"" fill=""#ffffff"">SHENZHEN FACTORY</text>","<text x=""205"" y=""228"" text-anchor=""middle"" font-size=""13.5"" font-weight=""800"" letter-spacing=""0.5"" fill=""#ffffff"">SHENZHEN PRODUCTION</text>"
public/diagrams/markets/shenzhen-to-uk-ddp-lane.svg,"<desc id=""uklDesc"">Four-station flow from the Shenzhen factory to a UK delivery address. Station one: production, 5 to 7 business days after artwork approval, with 100 percent electrical testing. Station two: DHL express air, 4 to 6 days to any UK address, London to the Highlands. Station three, highlighted in gold: the DDP checkpoint, where the 0 percent UK Global Tariff on smart cards under commodity 8523 52, the 20 percent import VAT, and customs clearance are settled by the supplier mid-route. Station four: your UK door, 9 to 13 days door to door, with the compliance pack in the box and no surprise invoices. Beneath the flow, two note bars: container-scale orders can move by sea to Felix","<desc id=""uklDesc"">Four-station flow from Shenzhen production to a UK delivery address. Station one: production, 7 to 15 business days after artwork approval, with 100 percent electrical testing. Station two: DHL express air, 4 to 6 days to any UK address, London to the Highlands. Station three, highlighted in gold: the DDP checkpoint, where the 0 percent UK Global Tariff on smart cards under commodity 8523 52, the 20 percent import VAT, and customs clearance are settled by the supplier mid-route. Station four: your UK door, 9 to 13 days door to door, with the compliance pack in the box and no surprise invoices. Beneath the flow, two note bars: container-scale orders can move by sea to Felix"
public/diagrams/markets/shenzhen-to-uk-ddp-lane.svg,"<text x=""180"" y=""160"" text-anchor=""middle"" font-size=""13"" font-weight=""800"" letter-spacing=""0.8"" fill=""#4a5568"">SHENZHEN FACTORY</text>","<text x=""180"" y=""160"" text-anchor=""middle"" font-size=""13"" font-weight=""800"" letter-spacing=""0.8"" fill=""#4a5568"">SHENZHEN PRODUCTION</text>"
public/diagrams/markets/shenzhen-to-us-ddp-lanes.svg,"<desc id=""slDesc"">Two shipping lanes run from the Shenzhen factory on the left to a US delivery address on the right. The express air lane via DHL, FedEx, and UPS takes 5 to 7 business days in transit. The sea freight lane to US West Coast ports takes 18 to 22 days and suits orders of 50,000 or more units. Between them sits the DDP checkpoint handled by Proud Tek: US import duty, Section 301 tariff, and customs brokerage are settled before delivery. A bottom strip of four stat chips summarizes: production 5 to 7 business days after artwork approval, express air 5 to 7 business days, 10 to 14 days door-to-door for most US orders, and 18 to 22 days by sea to the West Coast.</desc>","<desc id=""slDesc"">Two shipping lanes run from Shenzhen production on the left to a US delivery address on the right. The express air lane via DHL, FedEx, and UPS takes 5 to 7 business days in transit. The sea freight lane to US West Coast ports takes 18 to 22 days and suits orders of 50,000 or more units. Between them sits the DDP checkpoint handled by Proud Tek: US import duty, Section 301 tariff, and customs brokerage are settled before delivery. A bottom strip of four stat chips summarizes: production 5 to 7 business days after artwork approval, express air 5 to 7 business days, 10 to 14 days door-to-door for most US orders, and 18 to 22 days by sea to the West Coast.</desc>"
public/diagrams/markets/shenzhen-to-us-ddp-lanes.svg,"<text x=""200"" y=""192"" text-anchor=""middle"" font-size=""18"" font-weight=""800"" fill=""#291c0e"">Shenzhen factory</text>","<text x=""200"" y=""192"" text-anchor=""middle"" font-size=""18"" font-weight=""800"" fill=""#291c0e"">Shenzhen production</text>"
public/diagrams/products/nfc-card-print-production-flow.svg,"<text x=""70"" y=""330"" font-size=""12.5"" font-weight=""800"" letter-spacing=""0.5"" fill=""#2c5454"">FACTORY SEQUENCE — ONE LINE, NO HANDOFFS</text>","<text x=""70"" y=""330"" font-size=""12.5"" font-weight=""800"" letter-spacing=""0.5"" fill=""#2c5454"">PRODUCTION SEQUENCE — ONE SPEC, ONE QC SIGN-OFF</text>"
src/components/editorial/AboutTrustBand.astro,,"import { yearsInOperation } from ""../../lib/seo-content"";"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__stat-label"">Founded — 18 yrs continuous operation</span>","<span class=""codex-trust-band__stat-label"">Founded — {yearsInOperation()} yrs in operation</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__stat-value"">50<sup>+</sup></span>","<span class=""codex-trust-band__stat-value"">3</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__stat-label"">Countries shipped to</span>","<span class=""codex-trust-band__stat-label"">ISO systems certified (sales &amp; supplier management)</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__stat-label"">Product families in-house</span>","<span class=""codex-trust-band__stat-label"">Product families we specify and quality-control</span>"
src/components/editorial/AboutTrustBand.astro,"<ul class=""codex-trust-band__vendor-list"" aria-label=""Chip families we manufacture for"">","<ul class=""codex-trust-band__vendor-list"" aria-label=""Chip families we specify and stock"">"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__row-label"">Compliance shipped with every order</span>","<span class=""codex-trust-band__row-label"">Certificates and test reports published</span>"
src/components/editorial/AboutTrustBand.astro,"<ul class=""codex-trust-band__cert-list"" aria-label=""Compliance certifications and approvals"">","<ul class=""codex-trust-band__cert-list"" aria-label=""Certificates and sample-based test reports (numbers on the certifications page)"">"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-name"">9001:2015</span>","<span class=""codex-trust-band__cert-name"">9001 · 14001 · 45001</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-mark"">RoHS</span>","<span class=""codex-trust-band__cert-mark"">OEKO-TEX</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-name"">2011/65/EU</span>","<span class=""codex-trust-band__cert-name"">STANDARD 100 · laundry tag</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-mark"">REACH</span>","<span class=""codex-trust-band__cert-mark"">RoHS</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-name"">SVHC</span>","<span class=""codex-trust-band__cert-name"">sample-based report</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-mark"">FCC</span>","<span class=""codex-trust-band__cert-mark"">REACH</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-name"">Part 15 / 18</span>","<span class=""codex-trust-band__cert-name"">SVHC screening</span>"
src/components/editorial/AboutTrustBand.astro,"<span class=""codex-trust-band__cert-name"">EN 300 330</span>","<span class=""codex-trust-band__cert-name"">EN 62311 report</span>"
src/components/editorial/EditorialHero.astro,<span><strong>Shenzhen</strong> direct supplier</span>,<span><strong>Shenzhen</strong> manufacturing partner</span>
src/components/editorial/InlineRfqForm.astro,"<p>Tell us about your project and we'll respond within one business day. Fields marked <span class=""codex-rfq-required"" aria-hidden=""true"">*</span><span class=""codex-sr-only"">(asterisk)</span> are required.</p>","<p>Tell us about your project — first reply within 2–4 hours in Shenzhen business hours (Mon–Fri, GMT+8), written quote within 24–48 hours. Fields marked <span class=""codex-rfq-required"" aria-hidden=""true"">*</span><span class=""codex-sr-only"">(asterisk)</span> are required.</p>"
src/components/editorial/InlineRfqForm.astro,"<p>Thanks — your inquiry about <strong>{productName}</strong> is with our specialists. We reply within one business day (Mon–Fri, GMT+8) with pricing, MOQ, lead time and sample options.</p>","<p>Thanks — your inquiry about <strong>{productName}</strong> is with our specialists. We reply within 2–4 hours in Shenzhen business hours (Mon–Fri, GMT+8) and send a written quote with pricing, MOQ, lead time and sample options within 24–48 hours.</p>"
