file,commit,before,after
public/diagrams/lp/rfid-manufacturer-shenzhen-product-range.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""600"" y=""92"" text-anchor=""middle"" font-size=""29"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">One factory, six families, one shipment</text>","<text x=""600"" y=""92"" text-anchor=""middle"" font-size=""29"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">One supplier, six families, one shipment</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-product-range.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""153"" y=""408"" text-anchor=""middle"" font-size=""13"" fill=""#5c5c5c"">2 factories · 10 lines</text>","<text x=""153"" y=""408"" text-anchor=""middle"" font-size=""13"" fill=""#5c5c5c"">Shenzhen · since 2008</text>"
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""summary"": ""Proud Tek Co., Limited is a Shenzhen-based RFID and NFC manufacturer serving B2B procurement programs across more than 50 countries. Since 2008 we have operated as a direct factory — wet-inlay assembly, card and label lamination, encoding, laser numbering and compliance documentation all happen under our own roof. We sell to system integrators, OEMs, hospitality groups, industrial laundries, brand owners and event organizers who need a chip-agnostic factory partner with traceable quality and predictable lead times."",","""summary"": ""Proud Tek Co., Limited is a Shenzhen-based RFID and NFC manufacturer serving B2B procurement programs worldwide. Since 2008 we have supplied RFID and NFC credentials directly to B2B buyers — specification, encoding, laser numbering, quality control and compliance documentation are managed by our own team. We sell to system integrators, OEMs, hospitality groups, industrial laundries, brand owners and event organizers who need a chip-agnostic factory partner with traceable quality and predictable lead times."","
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""Direct factory in Shenzhen since 2008 — engineering, encoding, lamination and QC done in-house, not outsourced."",","""Direct supplier in Shenzhen since 2008 — specification, encoding and QC managed by our own team."","
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""18 years of continuous operation since 2008."",","""continuous operation since 2008."","
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified",{,
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""value"": ""50+"",",
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""label"": ""Countries shipped to""",
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","},",
src/content/editorial/about.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""answer"": ""We were founded in 2008 in Shenzhen and have operated continuously for 18 years. We have shipped to customers across more than 50 countries during that time, with the heaviest concentration in Europe and the Americas.""","""answer"": ""We were founded in 2008 in Shenzhen and have operated continuously since then. We have shipped to customers in Europe, the Americas, Asia-Pacific and the Middle East during that time."""
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""summary"": ""A walk through the physical plant behind Proud Tek's RFID products: two Shenzhen sites, ten automated lines and 305+ pieces of process equipment, plus an in-house test lab that proves every SKU — wash-cycle, read-range, environmental and mechanical — before it ships. This page covers the floor, the equipment, the material supply chain and the production-to-dispatch workflow; the capability overview and chip support live on the main About page."",","""summary"": ""A walk through the physical plant behind Proud Tek's RFID products: production in Shenzhen, plus an in-house test lab that proves every SKU — wash-cycle, read-range, environmental and mechanical — before it ships. This page covers the floor, the equipment, the material supply chain and the production-to-dispatch workflow; the capability overview and chip support live on the main About page."","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""Two Shenzhen production sites, ten automated lines and 305+ pieces of process equipment — assembly, lamination, printing, encoding and test under our own roof."",","""Production in Shenzhen — assembly, lamination, printing, encoding and test under one documented quality system."","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""Two production sites in Shenzhen; ten automated lines under one management system."",","""Production in Shenzhen under one documented management system."","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""305+ pieces of process equipment — bonders, lamination presses, offset / screen / laser, reel-to-reel encoders and read-test stations."",","""Process equipment covers bonding, lamination, offset / screen / laser printing, reel-to-reel encoding and read-test stations."","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""intro"": ""The main About page lists what we can make; this is where it physically happens. Ten lines are split across two Shenzhen sites and run by our own operators — the same crew builds the pilot lot and the production order, which is why first-run defect rates stay flat across a program's life."",","""intro"": ""The main About page lists what we can make; this is where it physically happens. Lines are run by our own operators — the same crew builds the pilot lot and the production order, which is why first-run defect rates stay flat across a program's life."","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""title"": ""Two sites, 305+ machines"",","""title"": ""Plant and equipment"","
src/content/editorial/about/factory.json,"9dba2a1 content(claims): remove undocumented capability figures, state ISO scope as certified","""text"": ""Assembly is concentrated at one site, finishing and encoding at the other — 305+ pieces of process equipment in total, from chip bonders to reel-to-reel programmers. No value-added step is subcontracted to a job shop.""","""text"": ""Process equipment runs from chip bonders to reel-to-reel programmers. No value-added step is subcontracted to a job shop."""
src/content/editorial/blog/case-study-3pl-rfid-99-percent-inventory-accuracy.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""Case Study: 99.2% Inventory Accuracy at a 3PL"",","""title"": ""Worked Example: 99.2% Inventory Accuracy at a 3PL"","
src/content/editorial/blog/case-study-3pl-rfid-99-percent-inventory-accuracy.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Customer story"",","""kicker"": ""Worked example"","
src/content/editorial/blog/case-study-3pl-rfid-99-percent-inventory-accuracy.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""A 110,000 sqft third-party logistics operator was quietly losing brand customers to a number nobody liked saying out loud: 87% barcode-scan accuracy. Twenty-four weeks later that number read 99.2%, RFID-verified, and the CFO had stopped scheduling emergency meetings about it. Here are the rollout phases, the tag cost per case and per pallet, the reader-placement calls, and the 4-month payback math that turned a skeptical finance team into the project's loudest advocates."",","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. A 110,000 sqft third-party logistics operator was quietly losing brand customers to a number nobody liked saying out loud: 87% barcode-scan accuracy. Twenty-four weeks later that number read 99.2%, RFID-verified, and the CFO had stopped scheduling emergency meetings about it. Here are the rollout phases, the tag cost per case and per pallet, the reader-placement calls, and the 4-month payback math that turned a skept"
src/content/editorial/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""Case Study: 99.2% Read Rate for Walmart RFID"",","""title"": ""Worked Example: 99.2% Read Rate for Walmart RFID"","
src/content/editorial/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Customer story"",","""kicker"": ""Worked example"","
src/content/editorial/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""Walmart handed a women's apparel brand a 14-week ultimatum: get compliant RFID onto 4 product categories, or start paying for the privilege of not. The brand had exactly zero RFID experience and a part-time team of two. It sourced GS1 SGTIN-96 hangtags, wired supplier-side encoding into 3 contract factories across Vietnam and Bangladesh, and cleared Walmart's first audit at 99.2% — comfortably above the 95% threshold and inside the deadline. Here is precisely how they pulled it off."",","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. Walmart handed a women's apparel brand a 14-week ultimatum: get compliant RFID onto 4 product categories, or start paying for the privilege of not. The brand had exactly zero RFID experience and a part-time team of two. It sourced GS1 SGTIN-96 hangtags, wired supplier-side encoding into 3 contract factories across Vietnam and Bangladesh, and cleared Walmart's first audit at 99.2% — comfortably above the 95% threshold"
src/content/editorial/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""Case Study: Keycard Costs Down 41% with RFID"",","""title"": ""Worked Example: Keycard Costs Down 41% with RFID"","
src/content/editorial/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Customer story"",","""kicker"": ""Worked example"","
src/content/editorial/blog/case-study-boutique-hotel-rfid-keycard-cost-reduction.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""A boutique hotel group switched from magstripe to MIFARE Classic 1K RFID keycards across 78 rooms in 11 weeks. They reduced annual keycard operating cost by 41%, eliminated $3,200/year in magstripe-encoder repair invoices, and improved guest satisfaction NPS by 14 points on key-related survey items — the least glamorous upgrade in the building, and one of the most profitable."",","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. A boutique hotel group switched from magstripe to MIFARE Classic 1K RFID keycards across 78 rooms in 11 weeks. They reduced annual keycard operating cost by 41%, eliminated $3,200/year in magstripe-encoder repair invoices, and improved guest satisfaction NPS by 14 points on key-related survey items — the least glamorous upgrade in the building, and one of the most profitable."","
src/content/editorial/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""Case Study: Zero Retained Sponges with RFID"",","""title"": ""Worked Example: Zero Retained Sponges with RFID"","
src/content/editorial/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Customer story"",","""kicker"": ""Worked example"","
src/content/editorial/blog/case-study-regional-hospital-rfid-surgical-sponge-rss-prevention.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""Two retained surgical sponges in one year is two too many. A 380-bed regional hospital deployed RFID-tagged surgical sponges across 14 operating rooms and 2 trauma bays in 9 months, then watched the only number that matters fall to zero: zero retained surgical sponge (RSS) events in the 18 months following go-live, down from 2 in the prior 12 months. Joint Commission documentation findings dropped 87% along the way."",","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. Two retained surgical sponges in one year is two too many. A 380-bed regional hospital deployed RFID-tagged surgical sponges across 14 operating rooms and 2 trauma bays in 9 months, then watched the only number that matters fall to zero: zero retained surgical sponge (RSS) events in the 18 months following go-live, down from 2 in the prior 12 months. Joint Commission documentation findings dropped 87% along the way."""
src/content/editorial/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""Case Study: Google Reviews Up 320% with NFC"",","""title"": ""Worked Example: Google Reviews Up 320% with NFC"","
src/content/editorial/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Customer story"",","""kicker"": ""Worked example"","
src/content/editorial/blog/case-study-restaurant-group-nfc-review-cards-google-reviews-320-percent.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""A regional restaurant group with 6 locations had a quiet problem: only its unhappy guests ever left a Google review. So it put NFC tap-to-review cards on every server's apron and at every host stand — and started asking the happy ones too. In 90 days, weekly Google review volume rose 320%, average star rating increased from 4.2 to 4.6, and cost per review dropped to $0.18 — beating their previous email-survey program by an order of magnitude."",","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. A regional restaurant group with 6 locations had a quiet problem: only its unhappy guests ever left a Google review. So it put NFC tap-to-review cards on every server's apron and at every host stand — and started asking the happy ones too. In 90 days, weekly Google review volume rose 320%, average star rating increased from 4.2 to 4.6, and cost per review dropped to $0.18 — beating their previous email-survey program"
src/content/editorial/blog/rfid-rfp-template-questions-suppliers.json,"fb50705 fix(seo): no canonical on the 404 template, lang=en-US everywhere, repair the dead ROI-calculator link","""href"": ""/downloads/rfid-roi-calculator.xlsx"",","""href"": ""/tools/rfid-tag-cost-estimator/"","
src/content/editorial/blog/rfid-rfp-template-questions-suppliers.json,"fb50705 fix(seo): no canonical on the 404 template, lang=en-US everywhere, repair the dead ROI-calculator link","""label"": ""RFID deployment ROI calculator (XLSX)""","""label"": ""RFID tag cost estimator (interactive, on-site)"""
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""RFID & NFC Case Studies — Real Proud Tek Deployments by Industry"",","""title"": ""RFID & NFC Worked Examples — Programme Templates by Industry"","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Case Studies"",","""kicker"": ""Worked examples"","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""Documented Proud Tek RFID and NFC deployments — hotel locks, industrial laundry, festival access, retail apparel, library self-service and pharmaceutical traceability. Each case lists the customer profile (anonymised where required), the procurement constraints, the chip and form factor selected, the volume shipped and the operational results measured after go-live. Use these pages to short-list a chip family and form factor that has already shipped against a workflow comparable to yours."",","""summary"": ""Illustrative RFID and NFC programme templates — hotel locks, industrial laundry, festival access, retail apparel, library self-service and pharmaceutical traceability. Each example states the buyer profile it models, the procurement constraints, the chip and form factor selected, the volume assumed and the outcomes such a programme would target, calculated from the stated assumptions. They are worked examples, not named-customer records; where Proud Tek can arrange a customer reference under NDA, we say so in the inquiry process."","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""Six documented deployments spanning hospitality, industrial laundry, events & venues, retail apparel, library systems and pharmaceutical traceability — between 50,000 and 2,400,000 units per program per year."",","""Six worked examples spanning hospitality, industrial laundry, events & venues, retail apparel, libraries and pharmaceutical traceability."","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""Each case study lists the chip family selected (MIFARE Classic 1K, MIFARE DESFire EV3, NTAG215, NTAG424 DNA, {chip:impinj-monza-r6-p:name}, {chip:nxp-ucode-8:name}) and why competing chip families were rejected for the workflow."",","""Every figure is derived from stated assumptions (volumes, unit costs, cycle counts) so a procurement reader can reproduce or replace it with their own numbers."","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""All results are measured numbers — chargeback avoidance, shrink reduction, inventory accuracy, read-rate after 50 wash cycles, encoding throughput, lead time — taken from joint go-live reviews with the customer's operations team.""","""Not customer testimonials: no example is presented as a named or anonymised customer's measured results."""
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""question"": ""Are the case-study customer names real?"",","""question"": ""Are these real customer case studies?"","
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""answer"": ""We disclose the customer name where the customer has given Proud Tek written permission to do so. Where the customer has asked to remain unnamed (typically retail chains, hotel groups under brand-standard NDAs and US pharmaceutical distributors), we describe the customer profile with enough specificity that a procurement reader can recognise an analogue without identifying the underlying brand. Volume figures, chip part numbers, lead times and operational results are always real.""","""answer"": ""No. They are illustrative worked examples built from typical programme parameters, vendor datasheets and standard unit economics. They are not named or anonymised customer records, and no figure should be read as a measured deployment result. Where Proud Tek can share an actual reference, it is arranged individually under NDA during the inquiry process."""
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""answer"": ""Yes, subject to a short NDA and a written request. Reference calls are coordinated by your Proud Tek account manager, typically scheduled within 5–10 business days. We ask buyers to provide a one-paragraph project brief in advance so the reference call covers the procurement questions that actually matter to your shortlist.""","""answer"": ""Reference conversations are arranged case by case under NDA where an existing customer has agreed; the worked examples on this page are not reference accounts and do not identify customers."""
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""answer"": ""Almost certainly yes — Proud Tek has shipped product into more than 30 verticals. The six published case studies are the ones with the strongest documentation and customer permission to share. For unpublished verticals (agriculture, education, fitness, automotive tire OEM, data-center IT asset tracking, cold-chain food traceability, government & defense supply chain) please contact the team for a private deployment brief that mirrors the same structure.""","""answer"": ""Almost certainly yes — Proud Tek has shipped product into more than 30 verticals. The six published case studies are the ones with the strongest documentation and a modelling basis Proud Tek can explain. For unpublished verticals (agriculture, education, fitness, automotive tire OEM, data-center IT asset tracking, cold-chain food traceability, government & defense supply chain) please contact the team for a private deployment brief that mirrors the same structure."""
src/content/editorial/case-studies/_pillar.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""answer"": ""Within a band, yes — production economies of scale flatten beyond the 100,000-unit mark for most SKUs, so a 100,000-unit / year buyer typically lands within 15–25% of a 1,000,000-unit / year buyer's unit price. Below 50,000 units / year the per-unit cost ladder steepens, but Proud Tek still serves smaller buyers through a shared-tooling SKU programme where the chip, antenna and lamination are stock and only the printed artwork and encoding are project-specific.""","""answer"": ""Reference conversations are arranged case by case under NDA where an existing customer has agreed; the worked examples on this page are not reference accounts and do not identify customers."""
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""28-Property Hotel Key Card Rollout — 2.4M/Year"",","""title"": ""Worked example: 28-Property Hotel Key Card Rollout — 2.4M/Year"","
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Case study · Hospitality"",","""kicker"": ""Worked example · Hospitality"","
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""summary"": ""A South-East Asia hotel group operating 28 properties under three sub-brands migrated from magnetic-stripe key cards to MIFARE Classic 1K contactless key cards across the entire estate over 18 months. Proud Tek shipped 2.4 million cards in year one, with same-day Shenzhen-to-property air freight on the front-desk replenishment SKU. Encoding lead time at the front desk dropped from 12 seconds (magnetic swipe-and-program) to 1.8 seconds (RFID tap-encode), and lost-card replacement cost fell 41% because the cards no longer carried magnetic data that demagnetised in mobile-phone wallet","""summary"": ""Illustrative worked example — the figures below are modelled from typical programme parameters and vendor datasheets; they are not a named customer's measured results. A South-East Asia hotel group operating 28 properties under three sub-brands migrated from magnetic-stripe key cards to MIFARE Classic 1K contactless key cards across the entire estate over 18 months. Proud Tek shipped 2.4 million cards in year one, with same-day Shenzhen-to-property air freight on the front-desk replenishment SKU. Encoding lead time at the front desk dropped from 12 seconds (magnetic swipe-and-progr"
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,,{
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,,"""label"": ""About this example"","
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,,"""text"": ""This page is an illustrative worked example. Volumes, unit costs, cycle counts and outcome figures are modelled from typical programme parameters and vendor datasheets so a procurement reader can check the arithmetic and substitute their own numbers. It is not a named or anonymised customer's measured results."""
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,,"},"
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""text"": ""Multi-brand hotel group, 28 properties, 12,000 keyed rooms, ~2.5 M annual guest stays. Customer name withheld under brand-standard NDA.""","""text"": ""Multi-brand hotel group, 28 properties, 12,000 keyed rooms, ~2.5 M annual guest stays. Illustrative profile — not a named customer."""
src/content/editorial/case-studies/hospitality-hotel-key-card-rollout.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""intro"": ""One table for the reviewer who wants the specification and the outcomes side by side. Every figure here is the customer's own shipped or measured value; nothing is modelled."",","""intro"": ""One table for the reviewer who wants the specification and the outcomes side by side. Every figure here is modelled from the stated programme parameters; none is a named customer's measured value."","
src/content/editorial/case-studies/industrial-laundry-pps-rfid-tag.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""title"": ""250+ Wash Cycles — Industrial Laundry PPS Tags"",","""title"": ""Worked example: 250+ Wash Cycles — Industrial Laundry PPS Tags"","
src/content/editorial/case-studies/industrial-laundry-pps-rfid-tag.json,cbac4d1 content(case-studies): relabel anonymous case studies as illustrative worked examples,"""kicker"": ""Case study · Industrial laundry"",","""kicker"": ""Worked example · Industrial laundry"","
